山田太郎,yamada@example.com,student,Passw0rd!
佐藤花子,sato@example.com,student,Passw0rd!
鈴木一郎,suzuki@example.com,student,Passw0rd!
田中花子,tanaka@example.com,student,Passw0rd!
山本太郎,yamamoto@example.com,student,Passw0rd!
井上花子,inoue@example.com,student,Passw0rd!
中村一郎,nakamura@example.com,student,Passw0rd!
木村二郎,kimura@example.com,student,Passw0rd!
森田三郎,morita@example.com,student,Passw0rd!
清水四郎,shimizu@example.com,student,Passw0rd!
林五郎,hayashi@example.com,student,Passw0rd!
小林六郎,kobayashi@example.com,student,Passw0rd!
加藤七郎,kato@example.com,student,Passw0rd!
高橋八郎,takahashi@example.com,student,Passw0rd!
伊藤九郎,ito@example.com,student,Passw0rd!
松本十郎,matsumoto@example.com,student,Passw0rd!
石川十一郎,ishikawa@example.com,student,Passw0rd!
佐々木十二郎,sasaki@example.com,student,Passw0rd!
森十三郎,mori@example.com,student,Passw0rd!
斎藤十四郎,saito@example.com,student,Passw0rd!
渡辺十五郎,watanabe@example.com,student,Passw0rd!
藤田十六郎,fujita@example.com,student,Passw0rd!
清水十七郎,shimizu2@example.com,student,Passw0rd!
近藤十八郎,kondo@example.com,student,Passw0rd!
岡田十九郎,okada@example.com,student,Passw0rd!
長谷川二十郎,hasegawa@example.com,student,Passw0rd!
村上二十一郎,murakami@example.com,student,Passw0rd!
前田二十二郎,maeda@example.com,student,Passw0rd!
金子二十三郎,kaneko@example.com,student,Passw0rd!
内田二十四郎,uchida@example.com,student,Passw0rd!
浜田二十五郎,hamada@example.com,student,Passw0rd!
岡本二十六郎,okamoto@example.com,student,Passw0rd!
橋本二十七郎,hashimoto@example.com,student,Passw0rd!
堀二十八郎,hori@example.com,student,Passw0rd!
黒田二十九郎,kuroda@example.com,student,Passw0rd!
坂本三十郎,sakamoto@example.com,student,Passw0rd!
三浦三十一郎,miura@example.com,student,Passw0rd!
新井三十二郎,arai@example.com,student,Passw0rd!
富田三十三郎,tomita@example.com,student,Passw0rd!
菅原三十四郎,sugawara@example.com,student,Passw0rd!
秋田三十五郎,akita@example.com,student,Passw0rd!
藤原三十六郎,fujiwara@example.com,student,Passw0rd!
古川三十七郎,furukawa@example.com,student,Passw0rd!
西田三十八郎,nishida@example.com,student,Passw0rd!
竹内三十九郎,takeuchi@example.com,student,Passw0rd!
中島四十郎,nakajima@example.com,student,Passw0rd!
